Shemarin Viktor ,0:33:53,1:09:39,1:36:53,1:59:21,2:20:00,2:40:26,3:07:50.4
Miller Mait,0:32:38,1:06:37,1:34:08,1:56:59,2:18:32,2:39:24,3:07:58.7
Kuznetsov Andrey,0:33:40,1:08:14,1:35:29,1:58:12,2:19:18,2:40:00,3:08:04.1
Shemyakin Andrey,0:32:00,1:06:58,1:34:06,1:56:13,2:17:05,2:40:26,3:08:04.2
Hirn Jari,0:33:04,1:08:19,1:35:57,1:58:37,2:19:37,2:40:24,3:08:09.9
Vorobyev Sergey,0:33:05,1:08:11,1:35:13,1:57:55,2:19:17,2:39:55,3:08:10.5
Grandjean Frederic,0:33:05,1:07:42,1:34:40,1:56:59,2:18:13,2:39:26,3:08:11.9
Soika Uvis,0:33:10,1:08:35,1:35:53,1:58:39,2:20:00,2:40:25,3:08:23.6
Virtanen Niina,0:31:58,1:06:29,1:33:56,1:57:09,2:19:10,2:39:58,3:08:23.6
Jakobson Mikk,0:33:12,1:07:55,1:35:09,1:57:48,2:19:11,2:40:01,3:08:29.9
Tommola Mika,0:34:39,1:09:51,1:37:03,1:59:26,2:20:36,2:40:43,3:08:44.4
Kachurin Alexandr,0:33:32,1:08:12,1:35:04,1:57:29,2:18:53,2:39:25,3:08:46.6
Vana Janek,0:33:03,1:08:39,1:36:41,1:59:48,2:20:47,2:41:09,3:09:13.9
Toome Roland,0:32:37,1:07:41,1:34:33,1:57:45,2:19:33,2:40:25,3:09:22.2
Vahar Jüri,0:32:38,1:07:32,1:35:02,1:58:23,2:19:51,2:40:41,3:09:23.8
Raag Raiko,0:34:21,1:08:15,1:35:24,1:58:15,2:19:52,2:40:46,3:09:24.7
Laur Toomas,0:33:36,1:08:59,1:36:03,1:58:32,2:19:50,2:40:44,3:09:30.3
Reiska Alar,0:33:41,1:08:10,1:35:14,1:57:38,2:18:53,2:39:35,3:09:35.2
Teesaar Toomas,0:33:07,1:08:59,1:37:00,1:59:50,2:20:45,2:41:21,3:09:42.3
Neemela Tarmo,0:33:02,1:07:35,1:34:41,1:57:39,2:19:26,2:40:26,3:10:00.6
Keskpaik Kert,0:33:07,1:07:49,1:35:35,1:59:30,2:20:45,2:41:05,3:10:20.8
Rell Martti,0:32:36,1:07:21,1:35:19,1:58:25,2:20:16,2:41:42,3:10:51.3
Uudeberg Tanel,0:32:35,1:07:59,1:36:33,2:00:09,2:21:57,2:42:48,3:10:51.6
Vliegen Erik,0:31:48,1:05:18,1:32:55,1:56:18,2:20:21,2:41:45,3:10:52.7
Soots Urmas,0:33:41,1:08:34,1:36:35,1:59:49,2:21:53,2:42:48,3:10:53.7
Nigul Alar,0:33:37,1:08:58,1:36:40,1:59:50,2:21:07,2:42:33,3:10:54.3
Lõhmus Karel,0:34:18,1:08:50,1:36:34,1:59:27,2:20:39,2:41:43,3:10:55.4
Pain Indrek,0:34:57,1:10:27,1:38:04,2:01:02,2:22:17,2:42:51,3:10:56.4
Normak Hannes,0:33:39,1:09:02,1:37:05,1:59:56,2:21:28,2:42:49,3:10:57.1
Hiltunen Paavo,0:33:00,1:08:43,1:37:53,2:01:20,2:22:15,2:42:35,3:10:57.4
Krievans Agris,0:33:41,1:08:23,1:36:07,1:59:26,2:20:45,2:41:42,3:10:58.2
Suur Ivo,0:34:01,1:09:34,1:37:09,2:00:31,2:22:02,2:42:47,3:11:00.4
Smutin Valery,0:33:00,1:04:54,1:31:12,1:59:26,2:16:20,2:39:08,3:11:30.2
Janusauskas Algimantas,0:34:28,1:10:18,1:38:08,2:01:27,2:22:57,2:43:46,3:11:34.3
Olesk Taivo,0:33:48,1:09:19,1:37:06,2:00:29,2:22:25,2:43:36,3:11:35.8
Kooser Mart,0:33:44,1:08:24,1:35:56,1:59:25,2:20:44,2:41:53,3:11:35.9
Gross Tõnis,0:35:13,1:11:30,1:39:49,2:02:13,2:23:15,2:43:59,3:11:36.6
Brenayzen Ilya,0:33:41,1:10:03,1:38:14,2:01:29,2:22:39,2:43:07,3:11:36.9
Karolin Indrek,0:33:54,1:10:32,1:38:31,2:01:35,2:23:00,2:43:45,3:11:37.0
Kivil Heleri,0:36:25,1:11:40,1:39:52,2:02:10,2:23:17,2:43:56,3:11:39.9
Virumäe Indrek,0:34:14,1:10:23,1:37:47,2:00:26,2:21:56,2:42:49,3:11:41.6
Mägi Marek,0:34:09,1:09:59,1:37:07,2:00:27,2:22:02,2:42:47,3:11:49.8
Kaljumäe Aivo,0:33:04,1:09:01,1:38:01,2:01:32,2:23:14,2:43:57,3:11:58.5
Adamson Allar,0:34:27,1:09:58,1:38:02,2:01:04,2:22:20,2:43:20,3:12:11.3
Uiboleht Kalle,0:34:54,1:11:22,1:39:36,2:02:10,2:23:37,2:44:23,3:12:27.5
Zabelin Yuriy,0:39:55,1:14:12,1:40:58,2:03:12,2:23:48,2:44:15,3:12:28.5
Mere Karl-Cardo,0:33:42,1:08:53,1:37:09,2:00:37,2:21:58,2:43:26,3:12:43.5
Flavyanov Igor,0:32:49,1:08:49,1:37:03,2:01:28,2:23:25,2:44:25,3:13:04.4
Tiidla Priit,0:34:23,1:10:27,1:38:03,2:01:08,2:22:56,2:43:52,3:13:05.6
Grihin Kevin,0:32:16,1:05:44,1:33:00,1:55:54,2:17:22,2:43:53,3:13:15.1
Seliverstov Sergei,0:35:03,1:10:29,1:38:12,2:01:18,2:22:31,2:44:06,3:13:24.4
Mäesepp Aigar,0:34:33,1:10:29,1:38:38,2:01:46,2:23:13,2:44:04,3:13:25.4
Siimsaare Tarmo,0:33:57,1:09:43,1:37:32,2:00:32,2:22:00,2:43:38,3:13:26.7
Rooden Priit,0:33:38,1:09:03,1:37:59,2:01:03,2:22:17,2:43:57,3:13:33.4
Berney Alec,0:33:45,1:09:55,1:38:00,2:01:03,2:22:28,2:43:58,3:13:43.3
Reinaas Ott,0:33:47,1:09:54,1:38:16,2:01:43,2:23:47,2:45:04,3:13:43.8
Mazko Viktor,0:33:47,1:09:17,1:37:51,2:02:04,2:24:01,2:45:04,3:13:48.9
Maarits Andres,0:34:27,1:10:32,1:38:43,2:02:03,2:23:38,2:45:03,3:13:49.9
Medvedev Sergei,0:31:58,1:06:36,1:34:32,1:58:41,2:21:49,2:43:52,3:13:51.4
Jaagant Priit,0:34:22,1:09:58,1:38:12,2:01:26,2:23:25,2:44:57,3:13:57.2
Mändla Tarmo,0:34:03,1:10:09,1:38:20,2:01:28,2:23:00,2:44:21,3:14:06.1
Ojaste Teiloora,0:32:39,1:07:38,1:35:18,1:58:25,2:20:16,2:43:19,3:14:08.9
Habakuk Andres,0:33:59,1:10:26,1:38:41,2:02:00,2:23:21,2:44:41,3:14:25.9
Täär Veikko,0:33:40,1:09:59,1:38:58,2:02:51,2:24:14,2:45:32,3:14:26.8
Heimann Rudolf,0:34:57,1:11:23,1:40:11,2:03:51,2:25:21,2:46:20,3:14:34.5
Tuula-Fjodorov Reeda,0:33:59,1:10:23,1:38:44,2:01:58,2:23:21,2:44:41,3:14:40.8
Lehto Tiit,0:35:03,1:10:40,1:38:42,2:02:12,2:23:32,2:44:54,3:14:42.5
Kuusalu Asko,0:35:03,1:07:37,1:35:20,1:59:16,2:21:32,2:43:43,3:14:48.8
Laineste Andres,0:32:50,1:08:08,1:35:44,1:59:16,2:21:34,2:43:44,3:14:48.9
Karlsson Stefan,0:35:14,1:12:07,1:40:21,2:03:18,2:24:30,2:45:35,3:14:52.0
Kallasmaa Karl-Thomas,0:35:18,1:11:34,1:40:20,2:03:54,2:25:47,2:46:44,3:15:04.1
